date,kpi_name,baseline_value,scenario_value,delta,delta_pct,scenario_name,scenario_id
2022-01-01,revenue,246447.1365,295736.5638,49289.42730000001,20.000000000000004,Aggressive Growth,S001
2022-01-01,gross_margin,66179.74649999998,79415.69579999997,13235.949299999993,19.999999999999996,Aggressive Growth,S001
2022-01-01,orders,15.0,15.0,0.0,0.0,Aggressive Growth,S001
2022-01-01,active_customers,15.0,15.0,0.0,0.0,Aggressive Growth,S001
2022-01-01,units_sold,45.0,45.0,0.0,0.0,Aggressive Growth,S001
2022-01-01,aov,16429.8091,16429.8091,0.0,0.0,Aggressive Growth,S001
2022-01-02,revenue,191342.084,229610.5008,38268.416800000006,20.000000000000004,Aggressive Growth,S001
2022-01-02,gross_margin,44961.12400000001,53953.348800000014,8992.224800000004,20.000000000000004,Aggressive Growth,S001
2022-01-02,orders,18.0,18.0,0.0,0.0,Aggressive Growth,S001
2022-01-02,active_customers,18.0,18.0,0.0,0.0,Aggressive Growth,S001
2022-01-02,units_sold,49.0,49.0,0.0,0.0,Aggressive Growth,S001
2022-01-02,aov,10630.115777777775,10630.115777777775,0.0,0.0,Aggressive Growth,S001
2022-01-03,revenue,365972.7275,439167.273,73194.54550000001,20.000000000000004,Aggressive Growth,S001
2022-01-03,gross_margin,80810.1975,96972.237,16162.039499999999,20.0,Aggressive Growth,S001
2022-01-03,orders,19.0,19.0,0.0,0.0,Aggressive Growth,S001
2022-01-03,active_customers,19.0,19.0,0.0,0.0,Aggressive Growth,S001
2022-01-03,units_sold,58.0,58.0,0.0,0.0,Aggressive Growth,S001
2022-01-03,aov,19261.7225,19261.7225,0.0,0.0,Aggressive Growth,S001
2022-01-04,revenue,200785.998,240943.19759999998,40157.19959999999,20.0,Aggressive Growth,S001
2022-01-04,gross_margin,50961.70799999999,61154.049599999984,10192.341599999992,19.999999999999986,Aggressive Growth,S001
2022-01-04,orders,14.0,14.0,0.0,0.0,Aggressive Growth,S001
2022-01-04,active_customers,14.0,14.0,0.0,0.0,Aggressive Growth,S001
2022-01-04,units_sold,34.0,34.0,0.0,0.0,Aggressive Growth,S001
2022-01-04,aov,14341.857,14341.857,0.0,0.0,Aggressive Growth,S001
2022-01-05,revenue,368855.65,442626.78,73771.13,20.0,Aggressive Growth,S001
2022-01-05,gross_margin,103373.03,124047.636,20674.606,20.0,Aggressive Growth,S001
2022-01-05,orders,16.0,16.0,0.0,0.0,Aggressive Growth,S001
2022-01-05,active_customers,16.0,16.0,0.0,0.0,Aggressive Growth,S001
2022-01-05,units_sold,56.0,56.0,0.0,0.0,Aggressive Growth,S001
2022-01-05,aov,23053.478125,23053.478125,0.0,0.0,Aggressive Growth,S001
2022-01-06,revenue,289167.8915,347001.4698,57833.578299999994,19.999999999999996,Aggressive Growth,S001
2022-01-06,gross_margin,69276.0815,83131.2978,13855.2163,20.0,Aggressive Growth,S001
2022-01-06,orders,19.0,19.0,0.0,0.0,Aggressive Growth,S001
2022-01-06,active_customers,19.0,19.0,0.0,0.0,Aggressive Growth,S001
2022-01-06,units_sold,60.0,60.0,0.0,0.0,Aggressive Growth,S001
2022-01-06,aov,15219.362710526317,15219.362710526317,0.0,0.0,Aggressive Growth,S001
2022-01-07,revenue,338511.4385,406213.7262,67702.28769999999,19.999999999999996,Aggressive Growth,S001
2022-01-07,gross_margin,88754.64849999997,106505.57819999996,17750.929699999993,20.0,Aggressive Growth,S001
2022-01-07,orders,24.0,24.0,0.0,0.0,Aggressive Growth,S001
2022-01-07,active_customers,23.0,23.0,0.0,0.0,Aggressive Growth,S001
2022-01-07,units_sold,67.0,67.0,0.0,0.0,Aggressive Growth,S001
2022-01-07,aov,14104.643270833332,14104.643270833332,0.0,0.0,Aggressive Growth,S001
2022-01-08,revenue,476292.902,571551.4824,95258.58039999998,19.999999999999996,Aggressive Growth,S001
2022-01-08,gross_margin,131648.06199999998,157977.67439999996,26329.612399999984,19.99999999999999,Aggressive Growth,S001
2022-01-08,orders,25.0,25.0,0.0,0.0,Aggressive Growth,S001
2022-01-08,active_customers,24.0,24.0,0.0,0.0,Aggressive Growth,S001
2022-01-08,units_sold,78.0,78.0,0.0,0.0,Aggressive Growth,S001
2022-01-08,aov,19051.71608,19051.71608,0.0,0.0,Aggressive Growth,S001
2022-01-09,revenue,263741.8435,316490.2122,52748.36869999999,19.999999999999996,Aggressive Growth,S001
2022-01-09,gross_margin,67670.46349999998,81204.55619999998,13534.092699999994,19.999999999999996,Aggressive Growth,S001
2022-01-09,orders,18.0,18.0,0.0,0.0,Aggressive Growth,S001
2022-01-09,active_customers,18.0,18.0,0.0,0.0,Aggressive Growth,S001
2022-01-09,units_sold,60.0,60.0,0.0,0.0,Aggressive Growth,S001
2022-01-09,aov,14652.324638888887,14652.324638888887,0.0,0.0,Aggressive Growth,S001
2022-01-10,revenue,277344.294,332813.1528,55468.85879999999,19.999999999999996,Aggressive Growth,S001
2022-01-10,gross_margin,61312.494,73574.99279999999,12262.498799999994,19.99999999999999,Aggressive Growth,S001
2022-01-10,orders,17.0,17.0,0.0,0.0,Aggressive Growth,S001
2022-01-10,active_customers,17.0,17.0,0.0,0.0,Aggressive Growth,S001
2022-01-10,units_sold,54.0,54.0,0.0,0.0,Aggressive Growth,S001
2022-01-10,aov,16314.370235294118,16314.370235294118,0.0,0.0,Aggressive Growth,S001
2022-01-11,revenue,199731.24,239677.48799999998,39946.24799999999,20.0,Aggressive Growth,S001
2022-01-11,gross_margin,44051.48,52861.776000000005,8810.296000000002,20.000000000000004,Aggressive Growth,S001
